NO,YEAR,MO,DY,HR,MN,MAG,C
1,1885,2,9,2,0,6,0
2,1885,6,11,9,20,6.9,0
3,1885,7,29,5,30,6,0
4,1885,10,30,20,30,6.2,0
5,1885,12,7,13,2,6.3,0
6,1885,12,19,18,26,6,2
7,1886,4,13,5,44,6.3,0
8,1886,7,2,12,33,6.3,2
9,1887,5,29,0,50,6.4,0
10,1887,5,29,1,10,6.2,2
11,1888,2,5,0,50,7.1,0
12,1888,11,24,2,3,6.5,0
13,1889,3,31,6,42,6.6,0
14,1890,11,17,9,31,6.3,0
15,1891,4,7,9,49,6.7,0
16,1891,5,5,8,16,6.2,0
17,1891,7,21,20,19,7,0
18,1892,10,22,19,9,6,0
19,1894,2,25,4,18,6.8,0
20,1894,3,14,18,15,6,2
21,1894,8,29,19,55,6.6,0
22,1894,11,28,1,5,7.1,0
23,1894,12,1,18,37,6.3,0
24,1896,1,9,22,17,7.5,0
25,1896,1,10,5,52,6,2
26,1896,1,10,11,25,6.3,0
27,1896,2,23,19,42,6.1,2
28,1896,3,6,23,52,6,2
29,1896,4,11,23,0,6,2
30,1896,6,15,19,32,8.5,0
31,1896,6,16,4,16,7.5,2
32,1896,6,16,8,1,7.5,2
33,1896,7,29,17,44,6.1,2
34,1896,8,1,11,49,6.5,0
35,1896,9,5,23,7,6.5,2
36,1897,2,20,5,50,7.4,0
37,1897,2,20,8,47,7,2
38,1897,3,27,19,49,6.3,2
39,1897,5,23,21,22,6.9,2
40,1897,7,22,18,31,6.8,0
41,1897,7,29,22,45,6,2
42,1897,8,5,9,10,7.7,0
43,1897,8,6,8,48,6.3,2
44,1897,8,12,10,50,6.1,2
45,1897,8,16,16,50,7.2,2
46,1897,10,2,21,45,6.6,2
47,1897,12,4,9,18,6.2,2
48,1897,12,26,16,41,6.2,2
49,1898,4,23,8,37,7.2,0
50,1898,10,7,11,0,6,0
51,1898,12,16,1,47,6,2
52,1899,3,22,19,23,6.5,2
53,1899,8,3,18,52,6,0
54,1900,3,12,10,34,6.4,0
55,1900,8,5,13,21,6.6,0
56,1900,8,29,11,32,6.8,0
57,1900,9,24,12,32,6,2
58,1901,5,14,5,11,6,0
59,1901,6,15,18,34,7,2
60,1901,8,9,18,23,7.2,1
61,1901,8,10,3,33,7.4,0
62,1901,8,10,5,0,6.3,2
63,1901,8,11,20,31,6,2
64,1901,8,29,21,16,6.3,2
65,1901,9,30,19,44,6.2,2
66,1902,1,1,0,20,6.1,2
67,1902,1,31,10,42,6.6,1
68,1902,5,2,20,31,7,0
69,1902,7,1,17,19,6.3,2
70,1902,7,8,23,5,6.2,2
71,1902,8,7,18,22,6.1,2
72,1904,12,17,16,2,6.3,0
73,1904,12,24,11,46,6,0
74,1905,6,27,1,10,6.2,0
75,1905,7,7,1,21,7.8,0
76,1905,12,26,12,11,6,0
77,1906,2,4,15,24,6,2
78,1906,4,5,11,50,6,2
79,1906,4,9,2,37,6.1,0
80,1907,1,5,1,46,6.3,0
81,1907,4,23,9,57,6,0
82,1907,5,23,7,54,6.3,0
83,1907,12,2,22,53,6.7,0
84,1908,1,15,21,56,6.9,0
85,1908,1,18,1,5,6,0
86,1908,2,5,21,7,6,0
87,1908,6,27,23,21,6.1,0
88,1908,11,22,16,15,6.4,0
89,1909,9,17,4,39,6.8,0
90,1910,1,22,8,25,6,0
91,1910,5,9,18,53,6,1
92,1910,5,10,22,56,6.1,0
93,1910,5,12,12,22,6,2
94,1910,10,13,23,56,6.3,0
95,1912,1,4,4,4,6.1,0
96,1912,1,9,6,21,6.1,0
97,1912,6,8,13,41,6.6,0
98,1912,12,9,8,50,6.6,0
99,1913,2,20,17,58,6.9,0
100,1913,5,22,5,36,6.1,1
101,1913,5,29,19,14,6.4,0
102,1913,10,3,9,17,6.1,1
103,1913,10,11,18,10,6.9,0
104,1913,10,13,2,5,6.6,2
105,1914,2,7,15,50,6.8,0
106,1914,12,26,3,18,6.1,0
107,1915,3,9,0,29,6.8,0
108,1915,4,6,5,25,6,1
109,1915,4,6,14,32,6.2,0
110,1915,4,25,2,9,6.4,0
111,1915,5,28,2,26,6,2
112,1915,6,5,6,59,6.7,0
113,1915,7,9,7,21,6.4,0
114,1915,10,13,6,30,6.8,0
115,1915,10,14,4,43,6.2,2
116,1915,10,15,1,28,6.1,2
117,1915,10,15,3,40,6.3,2
118,1915,10,16,1,55,6,2
119,1915,10,17,0,21,6.1,2
120,1915,11,1,16,24,7.5,0
121,1915,11,1,16,50,6.7,2
122,1915,11,1,18,1,7,2
123,1915,11,2,0,43,6.2,2
124,1915,11,4,12,13,6.4,2
125,1915,11,18,13,4,7,2
126,1915,12,7,5,58,6.5,0
127,1916,3,18,9,58,6.6,0
128,1916,5,15,8,56,6,0
129,1916,7,17,3,16,6.8,0
130,1916,8,8,13,25,6.3,0
131,1916,8,21,23,33,6.2,2
132,1916,8,28,7,43,6.8,0
133,1916,11,24,13,4,6.6,0
134,1917,3,15,9,14,6.9,0
135,1917,4,21,12,53,6.3,2
136,1917,6,14,22,22,6.1,0
137,1917,7,29,23,32,7.3,0
138,1917,11,16,0,2,6,0
139,1917,12,6,20,39,6.3,0
140,1918,7,26,5,50,6.7,0
141,1918,9,13,18,8,6.1,0
142,1918,12,14,6,33,6.2,0
143,1919,5,3,9,52,7.4,0
144,1919,7,22,8,51,6.1,0
145,1919,8,4,3,8,6.7,0
146,1919,8,8,1,32,6.2,0
147,1919,9,12,23,54,6.1,2
148,1919,10,11,22,17,6.3,0
149,1919,12,20,9,28,6.3,0
150,1920,2,8,0,6,6.7,0
151,1920,9,17,0,8,6.5,0
152,1920,9,21,5,27,6.1,0
153,1920,11,9,2,38,6.3,0
154,1920,12,3,8,39,6,2
155,1920,12,20,5,11,6.8,0
156,1921,1,10,3,56,6.1,0
157,1921,3,3,12,2,6.9,0
158,1921,8,22,13,5,6.3,0
159,1922,1,23,7,5,6.5,0
160,1922,3,17,3,31,6.2,0
161,1922,4,27,18,15,6,2
162,1922,5,16,5,21,6.5,0
163,1922,6,3,13,56,6.1,2
164,1922,7,6,5,20,6.5,0
165,1922,12,9,7,33,6.8,0
166,1923,5,26,12,12,6.4,1
167,1923,5,31,14,55,6.2,1
168,1923,6,2,2,24,7.3,0
169,1923,6,2,5,14,7.1,2
170,1923,6,7,2,36,6.2,2
171,1923,9,2,18,49,6.3,2
172,1923,11,18,5,40,6.3,1
173,1923,12,27,23,39,6.4,0
174,1924,2,3,7,25,6.3,0
175,1924,5,31,21,2,6.3,1
176,1924,5,31,21,4,6.4,1
177,1924,8,6,23,22,6.3,0
178,1924,8,15,3,2,7.1,0
179,1924,8,15,8,27,6.7,2
180,1924,8,17,10,45,6.3,2
181,1924,8,17,11,10,6.6,2
182,1924,8,25,23,31,6.7,2
183,1925,2,7,2,11,6,0
184,1925,4,20,5,24,6.3,0
185,1925,6,2,14,18,6.4,0
186,1925,11,10,23,44,6,0
187,1926,4,7,4,33,6.3,0
188,1926,5,27,4,45,6.4,0
189,1926,9,5,0,37,6.8,0
190,1926,10,3,17,25,6.4,0
191,1926,10,19,9,29,6.2,0
192,1926,11,11,12,1,6.1,2
193,1927,1,18,6,58,6.4,0
194,1927,3,16,15,52,6.4,2
195,1927,7,30,23,18,6.4,0
196,1927,8,6,6,12,6.7,0
197,1927,9,30,16,38,6.3,0
198,1928,5,27,18,50,7,0
199,1928,5,29,0,35,6.7,2
200,1928,6,1,22,12,6.5,2
201,1928,6,2,7,6,6,2
202,1928,8,1,4,28,6.1,2
203,1929,3,15,10,57,6,2
204,1929,4,1,5,17,6.3,0
205,1929,4,16,9,53,6.3,0
206,1929,5,31,9,10,6.1,0
207,1929,6,27,1,49,6.1,0
208,1929,8,29,3,51,6.3,0
209,1930,5,1,9,58,6.6,0
210,1930,8,21,19,44,6.1,0
211,1931,3,9,12,48,7.6,0
212,1931,3,10,2,56,6.1,2
213,1931,6,23,15,14,6.3,1
214,1931,6,23,15,14,6.6,0
215,1931,8,18,14,40,6,2
216,1931,9,9,4,8,6.3,2
217,1932,6,22,9,36,6.2,0
218,1932,6,30,3,16,6,0
219,1932,7,10,16,45,6.1,0
220,1932,9,3,20,58,6.6,0
